x0,x1,label,bpm,min_maj
-14.21614,11.650142,b'Pure',b'137+',b'Maj'
-6.997445,-4.3561916,b'Pure',b'130-',b'Min'
15.818668,-8.643311,b'Armind',b'130-',b'Min'
15.532034,-4.9131937,b'Armind',b'130-',b'Min'
8.408947,-21.98005,b'Anjunabeat',b'130-',b'Min'
7.9317966,-25.20705,b'Anjunabeat',b'130-',b'Min'
8.925283,-22.909018,b'Anjunabeat',b'130-',b'Min'
11.635943,-23.945091,b'Anjunabeat',b'130-',b'Min'
7.6765356,-11.676383,b'Anjunabeat',b'130-',b'Min'
7.743799,-20.574808,b'Anjunabeat',b'130-',b'Min'
9.563493,-23.166452,b'Anjunabeat',b'130-',b'Min'
11.48121,-6.468431,b'Armind',b'130-',b'Min'
1.4039357,-9.22116,b'Coldharbou',b'131-136',b'Min'
16.89283,-7.101828,b'Armind',b'131-136',b'Min'
3.0603588,-7.189088,b'Pure',b'131-136',b'Min'
2.0410008,-7.748591,b'Coldharbou',b'131-136',b'Min'
9.989873,-9.624696,b'Armind',b'131-136',b'Min'
-3.7839973,21.918314,b'WAO138',b'131-136',b'Min'
-13.937782,15.672207,b'FSOE',b'137+',b'Min'
-1.7140821,21.646471,b'WAO138',b'137+',b'Min'
-1.0112872,16.294437,b'WAO138',b'137+',b'Min'
0.59502107,17.80672,b'WAO138',b'137+',b'Min'
-21.082615,9.86177,b'Pure',b'137+',b'Min'
2.4303226,18.29465,b'WAO138',b'137+',b'Min'
3.047854,19.609308,b'WAO138',b'137+',b'Min'
1.2696326,19.691357,b'WAO138',b'137+',b'Min'
-17.597057,7.332242,b'Pure',b'137+',b'Min'
-13.813608,17.750141,b'FSOE',b'137+',b'Min'
-1.6668669,20.065329,b'WAO138',b'137+',b'Min'
-3.6306748,-9.444609,b'Coldharbou',b'130-',b'Maj'
6.807372,-11.942883,b'Armind',b'130-',b'Maj'
-6.6055446,11.126476,b'Armind',b'137+',b'Maj'
-12.650646,15.729149,b'FSOE',b'137+',b'Maj'
-11.858232,6.2108836,b'FSOE',b'137+',b'Maj'
